ip,time,method,url,protocol,status,size,referrer,user_agent,extra,no,cluster
31.56.96.51,2019-01-22 00:26:16+00:00,GET,/image/60844/productModel/200x200,HTTP/1.1,200,5667,https://www.zanbil.ir/m/filter/b113,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",-,2,3
31.56.96.51,2019-01-22 00:26:16+00:00,GET,/image/61474/productModel/200x200,HTTP/1.1,200,5379,https://www.zanbil.ir/m/filter/b113,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",-,3,3
91.99.72.15,2019-01-22 00:26:17+00:00,GET,/product/31893/62100/سشوار-خانگی-پرنسلی-مدل-PR257AT,HTTP/1.1,200,41483,-,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,-,5,6
178.253.33.51,2019-01-22 00:26:19+00:00,GET,/m/product/32574/62991/ماشین-اصلاح-صورت-پرنسلی-مدل-PR465AT,HTTP/1.1,200,20406,"https://www.zanbil.ir/m/filter/p5767,t156?name=ماشین-اصلاح&productType=electric-shavers","Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",-,13,6
91.99.72.15,2019-01-22 00:26:19+00:00,GET,/product/10075/13903/مایکروفر-رومیزی-سامسونگ-مدل-CE288,HTTP/1.1,200,41725,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",-,15,6
91.99.72.15,2019-01-22 00:26:20+00:00,GET,/product/32798/63266/یخچال-فریزر-سینجر-مدل-pearl-SR7,HTTP/1.1,200,40250,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",-,21,6
178.253.33.51,2019-01-22 00:26:20+00:00,GET,/settings/logo,HTTP/1.1,200,4120,https://www.zanbil.ir/m/product/32574/62991/ماشین-اصلاح-صورت-پرنسلی-مدل-PR465AT,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",-,22,5
31.56.96.51,2019-01-22 00:26:20+00:00,GET,/image/60819/productModel/200x200,HTTP/1.1,200,7171,https://www.zanbil.ir/m/filter/b113,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",-,24,3
31.56.96.51,2019-01-22 00:26:20+00:00,GET,/image/60847/productModel/200x200,HTTP/1.1,200,5667,https://www.zanbil.ir/m/filter/b113,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",-,25,3
178.253.33.51,2019-01-22 00:26:21+00:00,GET,/image/32574?name=pr465at.jpg&wh=max,HTTP/1.1,200,28825,https://www.zanbil.ir/m/product/32574/62991/ماشین-اصلاح-صورت-پرنسلی-مدل-PR465AT,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",-,26,5
